Sources: https://www.generalblue.com/calendar/canada/2024 & https://www.generalblue.com/calendar/canada/2024 & https://www2.gov.bc.ca/gov/content/employment-business/employment-standards-advice/employment-standards/statutory-holidays,,
,,
holiday_date,day_of_week,holiday
2024-01-01,Monday,New Year's Day
2024-02-19,Monday,Family Day
2024-03-29,Friday,Good Friday
2024-03-31,Sunday,Easter Sunday
2024-05-20,Monday,Victoria Day
2024-07-01,Monday,Canada Day
2024-08-05,Monday,Civic Holiday
2024-09-02,Monday,Labour Day
2024-09-30,Monday,National Day for Truth and Reconcilliation
2024-10-14,Monday,Thanksgiving
2024-11-11,Monday,Remembrance Day
2024-12-25,Wednesday,Christmas Day
2024-12-26,Thursday,Boxing Day
2025-01-01,Wednesday,New Year's Day
2025-02-17,Monday,Family Day
2025-04-18,Friday,Good Friday
2025-04-20,Sunday,Easter Sunday
2025-05-19,Monday,Victoria Day
2025-07-01,Tuesday,Canada Day
2025-08-04,Monday,Civic Holiday
2025-09-01,Monday,Labour Day
2025-09-30,Tuesday,National Day for Truth and Reconcilliation
2025-10-13,Monday,Thanksgiving
2025-11-11,Tuesday,Remembrance Day
2025-12-25,Thursday,Christmas Day
2025-12-26,Friday,Boxing Day